079C6388  // 0.475681
0722141E  // 0.44582
07437FAA  // 0.453979
075FD2A4  // 0.460894
07739ACB  // 0.465724
077ECDEC  // 0.468458
078480BB  // 0.469849
07892BA0  // 0.470989
0790BBE4  // 0.472835
079D49D8  // 0.475901
07AEC955  // 0.480172
07C391F9  // 0.485247
07D92BCF  // 0.49052
07ED16CF  // 0.495383
07FD451C  // 0.499333
08086AA4  // 0.502055
080E253E  // 0.503453
080F1EFB  // 0.503692
080CF7C0  // 0.503166
080A03E6  // 0.502445
0808CDB7  // 0.502149
080B5B98  // 0.502773

